Output,Input,Call,mNemonic,Location,Service Area,Latitude,Longitude,S,ERP,HASL,T/O,Sp,Tone,Notes
53.9500,52.9500,VK4RAT,-,Mt Stuart,Townsville 6/15,-19.343838,146.780685,P,-,584,-,4WIT,-,
53.9750,52.9750,VK4RBR,-,Mt Gravatt,Brisbane,-27.526594,153.091706,O,25,80,3,4WIE,-,
,,,,,,,,,,,,,,{{6M;FM;VK5}}
53.7500,52.7500,VK5RSB,Sumtwn,Summertown,Adelaide,-34.949232,138.716978,O,50,620,8,5ARG,-,
53.7750,52.7750,VK5RLZ,-,Elizabeth,Adelaide North,-34.742448,138.649074,O,50,73,5,5LZ,-,
,,,,,,,,,,,,,,{{6M;FM;VK6}}
53.8000,52.8000,VK6RAP,PerSE1,Roleystone,Perth South East,-32.100052,116.05155,O,20,350,5,WRG,-,11
,,,,,,,,,,,,,,{{6M;FM;VK7}}
53.7000,52.7000,VK7RCH,-,Roberts Bluff,Kaoota,-43.042591,147.178015,O,50,710,5,7HH,-,19
53.7750,52.7750,VK7RTV,-,Gawler,Central NW Coast,-41.200655,146.154779,O,50,155,7.5,TNA,-,
53.8000,52.8000,VK7RMD,-,Mt Duncan,NW Tasmania 3/17,-41.194584,146.035604,X,40,600,10,7NW,-,
53.8250,52.8250,VK7RAD,-,Queens Domain,Derwent Valley,-42.846518,147.310387,O,30,140,8,7OTC,-,17
53.8750,52.8750,VK7RAA,-,Mt Arthur,N Tasmania 6/15,-41.274031,147.283039,P,50,1400,3,7TAZ,-,
53.9500,52.9500,VK7RVP,-,St Valentines Peak,NW Tasmania,-41.356588,145.755707,O,40,1150,3,7DB,91.5,
,,,,,,,,,,,,,,{{2M;FM;VK2}}
146.6250,146.0250,VK2RBB,Byron,Goonengerry,Byron Bay,-28.602217,153.435042,O,18,355,3,2SRC,123,
146.6250,146.0250,VK2RGN,MtGray,Mt Gray,Goulburn,-34.758567,149.763092,O,20,-,3,2JQ,-,
146.6250,146.0250,VK2RNW,Kaput,Mt Kaputar,Narrabri - NW NSW 6/15,-30.278821,150.152139,P,50,1550,3,2AJ,-,
