CH No,Name,SEL,Frequency,Dup,Offset,Mode,DATA,Filter,TONE,Repeater Tone,TSQL Frequency,DTCS Code,DTCS Polarity,DV SQL,DV CSQL Code,Your Call Sign,RPT1 Call Sign,RPT2 Call Sign,Split
0,8DA Darwin,ON,146.900000,DUP-,0.600000,FM,OFF,1,TONE,123.0Hz,123.0Hz,023,BOTH N,OFF,0,,,,OFF
1,8CA West Gap,ON,146.950000,DUP-,0.600000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
2,8PD Moil,ON,146.950000,DUP-,0.600000,FM,OFF,1,TONE,123.0Hz,123.0Hz,023,BOTH N,OFF,0,,,,OFF
3,8TE Larrakeyah,ON,147.000000,DUP-,0.600000,FM,OFF,1,TONE,123.0Hz,123.0Hz,023,BOTH N,OFF,0,,,,OFF
