CH No,Name,SEL,Frequency,Dup,Offset,Mode,DATA,Filter,TONE,Repeater Tone,TSQL Frequency,DTCS Code,DTCS Polarity,DV SQL,DV CSQL Code,Your Call Sign,RPT1 Call Sign,RPT2 Call Sign,Split
0,3DQ Outer Easter,ON,144.937500,DUP+,0.600000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
1,3BT Green Hill,ON,146.650000,DUP-,0.600000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
2,3EG Mt Cann,ON,146.650000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
3,3SP Mt Martha,ON,146.675000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
4,3ML Ferny Creek,ON,146.700000,DUP-,0.600000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
5,3ON Ouyen,ON,146.700000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
6,3YV Briarty Hill,ON,146.725000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
7,3BA Mt Buninyong,ON,146.750000,DUP-,0.600000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
8,3AG Rennies Hill,ON,146.775000,DUP-,0.600000,FM,OFF,1,TONE,123.0Hz,123.0Hz,023,BOTH N,OFF,0,,,,OFF
9,3LV Mt Tassie,ON,146.800000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
10,3MA Mildura,ON,146.800000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
11,3AJ Upwey,ON,146.825000,DUP-,0.600000,FM,OFF,1,TONE,94.8Hz,94.8Hz,023,BOTH N,OFF,0,,,,OFF
12,3PL Portland,ON,146.825000,DUP-,0.600000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
13,3YN Yallourn Nor,ON,146.825000,DUP-,0.600000,FM,OFF,1,TONE,103.5Hz,103.5Hz,023,BOTH N,OFF,0,,,,OFF
14,3DU Mt Major,ON,146.850000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
15,3MN Kinglake,ON,146.850000,DUP-,0.600000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
16,3WM Mt Arapiles,ON,146.850000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
17,3GH Green Hill,ON,146.875000,DUP-,0.600000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
18,3EB Mt Nowa Nowa,ON,146.900000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
19,3PW portable,ON,146.925000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
20,3WE portable,ON,146.925000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
21,3WI portable,ON,146.925000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
22,3WR portable,ON,146.925000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
23,3WP portable,ON,146.925000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
24,3WZ Mt William,ON,146.950000,DUP-,0.600000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
25,3SR portable,ON,146.975000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
26,3WO Bald Hill,ON,146.975000,DUP-,0.600000,FM,OFF,1,TONE,123.0Hz,123.0Hz,023,BOTH N,OFF,0,,,,OFF
27,3GL Mt Anakie,ON,147.000000,DUP-,0.600000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
28,3NE Mt Big Ben,ON,147.000000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
29,3MK Mt Kerang,ON,147.025000,DUP+,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
30,3VL Robinvale,ON,147.050000,DUP+,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
31,3WL Mt Warrnambo,ON,147.050000,DUP+,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
32,3CR Mt Dandenong,ON,147.075000,DUP+,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
33,3PB Mt Porepunka,ON,147.100000,DUP+,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
34,3SG Bass Hill,ON,147.100000,DUP+,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
35,3WA Ben Nevis,ON,147.100000,DUP+,0.600000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
36,3DG Mt Delegate,ON,147.125000,DUP+,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
37,3GC Montpellier,ON,147.125000,DUP+,0.600000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
38,3CV Mt Alexander,ON,147.150000,DUP+,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
39,3EC Olinda,ON,147.175000,DUP+,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
40,3BQ Dimboola,ON,147.200000,DUP+,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
