CH No,Name,SEL,Frequency,Dup,Offset,Mode,DATA,Filter,TONE,Repeater Tone,TSQL Frequency,DTCS Code,DTCS Polarity,DV SQL,DV CSQL Code,Your Call Sign,RPT1 Call Sign,RPT2 Call Sign,Split
0,3AJ Upwey,ON,438.775000,DUP-,7.000000,P25,OFF,1,TONE,293.0Hz,293.0Hz,023,BOTH N,OFF,0,,,,OFF
1,3GL Mt Anakie,ON,439.500000,DUP-,5.000000,P25,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
2,3GC Montpellier,ON,439.575000,DUP-,5.000000,P25,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
3,3MU Mt St Leonar,ON,439.800000,DUP-,5.000000,P25,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
