CH No,Name,SEL,Frequency,Dup,Offset,Mode,DATA,Filter,TONE,Repeater Tone,TSQL Frequency,DTCS Code,DTCS Polarity,DV SQL,DV CSQL Code,Your Call Sign,RPT1 Call Sign,RPT2 Call Sign,Split
0,7AF Mt Faulkner,ON,146.650000,DUP-,0.600000,FM,OFF,1,TONE,123.0Hz,123.0Hz,023,BOTH N,OFF,0,,,,OFF
1,7AD Queens Domai,ON,146.700000,DUP-,0.600000,FM,OFF,1,TONE,141.3Hz,141.3Hz,023,BOTH N,OFF,0,,,,OFF
2,7VP St Valentine,ON,146.725000,DUP-,0.600000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
3,7NW Ulverstone W,ON,146.750000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
4,7TV Stowport,ON,146.775000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
5,7AK Gagebrook,ON,146.800000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
6,7HT Snug Tiers,ON,146.850000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
7,7AA Mt Arthur,ON,147.000000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
8,7WC Mt Read,ON,147.075000,DUP+,0.600000,FM,OFF,1,TONE,123.0Hz,123.0Hz,023,BOTH N,OFF,0,,,,OFF
9,7AC Table Cape,ON,147.375000,DUP+,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
10,7AD Queens Domai,ON,147.975000,DUP-,0.600000,FM,OFF,1,TONE,141.3Hz,141.3Hz,023,BOTH N,OFF,0,,,,OFF
