CH No,Name,SEL,Frequency,Dup,Offset,Mode,DATA,Filter,TONE,Repeater Tone,TSQL Frequency,DTCS Code,DTCS Polarity,DV SQL,DV CSQL Code,Your Call Sign,RPT1 Call Sign,RPT2 Call Sign,Split
0,4AS B Carborough,ON,439.950000,DUP-,5.000000,DSTAR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
1,4BD C Blackdown ,ON,146.637500,DUP-,0.600000,DSTAR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
2,4BX C The Knobby,ON,146.787500,DUP-,0.600000,DSTAR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
3,4BY C Black Mtn,ON,146.650000,DUP-,0.600000,DSTAR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
4,4BY B Black Mtn,ON,438.450000,DUP-,5.000000,DSTAR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
5,4CN B Manoora,ON,438.325000,DUP-,5.400000,DSTAR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
6,4CN C Manoora,ON,147.300000,DUP+,0.600000,DSTAR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
7,4DK B Mt Tambori,ON,438.312500,DUP-,5.400000,DSTAR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
8,4DS C Wilkes Kno,ON,146.737500,DUP-,0.600000,DSTAR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
9,4DS B Wilkes Kno,ON,438.550000,DUP-,5.200000,DSTAR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
10,4DS A Wilkes Kno,ON,1273.200000,DUP+,20.000000,DSTAR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
11,4DW B Wongawalla,ON,438.350000,DUP-,5.400000,DSTAR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
12,4SA B Sarina,ON,438.275000,DUP-,5.400000,DSTAR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
13,4US B Sarina,ON,438.450000,DUP-,5.000000,DSTAR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
