CH No,Name,SEL,Frequency,Dup,Offset,Mode,DATA,Filter,TONE,Repeater Tone,TSQL Frequency,DTCS Code,DTCS Polarity,DV SQL,DV CSQL Code,Your Call Sign,RPT1 Call Sign,RPT2 Call Sign,Split
0,5SA Adelaide,ON,438.025000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
1,5CT Moonta,ON,438.325000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
2,5MN The Bluff,ON,438.500000,DUP-,7.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
3,5VH Brown Hill,ON,438.525000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
4,5BV Mt Kitchener,ON,439.800000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
5,5OH Blue Lake,ON,439.825000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
6,5SC Mt Terrible,ON,439.825000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
7,5AC Pillaworta H,ON,439.850000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
8,5HO Anstey Hill,ON,439.875000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
9,5SB Summertown,ON,439.900000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
10,5AD Crafers,ON,439.925000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
11,5OC Lower Light,ON,439.950000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
12,5LZ Elizabeth,ON,439.975000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
