CH No,Name,SEL,Frequency,Dup,Offset,Mode,DATA,Filter,TONE,Repeater Tone,TSQL Frequency,DTCS Code,DTCS Polarity,DV SQL,DV CSQL Code,Your Call Sign,RPT1 Call Sign,RPT2 Call Sign,Split
0,1WN C Isaacs Rid,ON,146.662500,DUP-,0.600000,DSTAR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
1,2AG C Somersby,ON,146.637500,DUP-,0.600000,DSTAR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
2,2AG B Somersby,ON,438.325000,DUP-,5.400000,DSTAR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
3,2BV B Sydney,ON,438.775000,DUP-,5.000000,DSTAR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
4,2DS C Maddens Pl,ON,146.762500,DUP-,0.600000,DSTAR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
5,2WN C Terrey Hil,ON,146.962500,DUP-,0.600000,DSTAR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
6,2WN B Terrey Hil,ON,438.400000,DUP-,5.400000,DSTAR,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
