CH No,Name,SEL,Frequency,Dup,Offset,Mode,DATA,Filter,TONE,Repeater Tone,TSQL Frequency,DTCS Code,DTCS Polarity,DV SQL,DV CSQL Code,Your Call Sign,RPT1 Call Sign,RPT2 Call Sign,Split
0,4TQ Mt Kynoch,ON,438.025000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
1,4GT Maurice Hill,ON,438.050000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
2,4ZD Mt Persevera,ON,438.050000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
3,4SC Wilkes Knob,ON,438.075000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
4,4ZA Springbrook,ON,438.100000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
5,4ZC Wilkes Knob,ON,438.125000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
6,4SL Noosa Heads,ON,438.175000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
7,4ZB Mt Coot-tha,ON,438.200000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
8,4AT Mt Stuart,ON,438.225000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
9,4AR Mt Archer,ON,438.225000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
10,4PH Mt Haren,ON,438.225000,DUP-,5.400000,FM,OFF,1,TONE,123.0Hz,123.0Hz,023,BOTH N,OFF,0,,,,OFF
11,4BR Mt Gravatt,ON,438.275000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
12,4RC Wamuran,ON,438.325000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
13,4WM North Ipswic,ON,438.375000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
14,4BX The Knobby,ON,438.425000,DUP-,5.000000,FM,OFF,1,TONE,123.0Hz,123.0Hz,023,BOTH N,OFF,0,,,,OFF
15,4HR Hodgson Rang,ON,438.500000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
