CH No,Name,SEL,Frequency,Dup,Offset,Mode,DATA,Filter,TONE,Repeater Tone,TSQL Frequency,DTCS Code,DTCS Polarity,DV SQL,DV CSQL Code,Your Call Sign,RPT1 Call Sign,RPT2 Call Sign,Split
16,4LW O'Briens Mtn,ON,438.500000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
17,4SS Ocean View,ON,438.575000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
18,4AG Black Mtn,ON,438.625000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
19,4WI portable,ON,438.625000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
20,4EG Mt Mowbullan,ON,438.650000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
21,4WS Nebo,ON,438.675000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
22,4ET Mt Kiangarow,ON,438.700000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
23,4LB Woodridge,ON,438.750000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
24,4PU Mt Perry,ON,438.750000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
25,4BU Mt Goonanema,ON,438.775000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
26,4DD O'Rourke's H,ON,439.275000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
27,4BM Blue Mtn,ON,439.300000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
28,4SM Spring Mtn,ON,439.300000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
29,4AI The Knobby,ON,439.325000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
30,4SA Sarina,ON,439.625000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
31,4BS Alexandra Hi,ON,439.725000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
32,4MA Mt Alma,ON,439.750000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
33,4BW Watalgan,ON,439.775000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
34,4GL Lady Larcom,ON,439.800000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
35,4BT Wongawallan,ON,439.825000,DUP-,5.000000,FM,OFF,1,TONE,123.0Hz,123.0Hz,023,BOTH N,OFF,0,,,,OFF
36,4CA Cairns,ON,439.850000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
37,4CQ Banana Range,ON,439.875000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
38,4LU Mt Dunsinane,ON,439.875000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
39,4BK Tolga,ON,439.900000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
40,4WM North Ipswic,ON,439.925000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
41,4BA Rochedale,ON,439.950000,DUP-,5.000000,FM,OFF,1,TONE,123.0Hz,123.0Hz,023,BOTH N,OFF,0,,,,OFF
42,4GY Gympie,ON,439.950000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
43,4SD Malanda,ON,439.950000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
