CH No,Name,SEL,Frequency,Dup,Offset,Mode,DATA,Filter,TONE,Repeater Tone,TSQL Frequency,DTCS Code,DTCS Polarity,DV SQL,DV CSQL Code,Your Call Sign,RPT1 Call Sign,RPT2 Call Sign,Split
0,2HR High Range,ON,438.025000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
1,2NC Mt Sugarloaf,ON,438.025000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
2,1GI Mt Ginini,ON,438.050000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
3,2AG Somersby,ON,438.075000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
4,2MY Mt Yarrahapi,ON,438.075000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
5,2RW North Ryde,ON,438.100000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
6,2BV Sydney,ON,438.112500,DUP-,5.400000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
7,2HK Wyee,ON,438.125000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
8,2MU Nowra Hill,ON,438.125000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
9,2MB Terrey Hills,ON,438.175000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
10,2PW Grundy Mtn,ON,438.225000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
11,2WS Berowra Nort,ON,438.275000,DUP-,5.400000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
12,2IW Kiama,ON,438.300000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
13,2EE Mt Ganghat,ON,438.325000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
14,2GN Mt Gray,ON,438.325000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
15,2HT Chatswood,ON,438.350000,DUP-,5.400000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
16,2BM Lawson,ON,438.375000,DUP-,5.000000,FM,OFF,1,TONE,123.0Hz,123.0Hz,023,BOTH N,OFF,0,,,,OFF
17,2CN Telegraph Po,ON,438.425000,DUP-,5.000000,FM,OFF,1,TONE,123.0Hz,123.0Hz,023,BOTH N,OFF,0,,,,OFF
18,2LE Engadine,ON,438.425000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
19,2CF Carlingford,ON,438.450000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
20,2AB Mt Crawney,ON,438.475000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
21,2PM Middle Broth,ON,438.525000,DUP-,5.000000,FM,OFF,1,TONE,123.0Hz,123.0Hz,023,BOTH N,OFF,0,,,,OFF
22,2WI Dural,ON,438.525000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
23,2HC Hurstville,ON,438.550000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
24,2NW Mt Kaputar,ON,438.575000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
25,2OT Paddington,ON,438.575000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
26,2UM Merewether,ON,438.625000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
27,2GN Goulburn,ON,438.625000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
28,2AD South Hill,ON,438.650000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
29,2FG Gregory Hill,ON,438.650000,DUP-,7.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
30,2NC Mt Sugarloaf,ON,438.675000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
31,2PL Mt Nardi,ON,438.675000,DUP-,5.000000,FM,OFF,1,TONE,123.0Hz,123.0Hz,023,BOTH N,OFF,0,,,,OFF
32,2AO Mt Canobolas,ON,438.725000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
33,2MP Maddens Plai,ON,438.725000,DUP-,5.000000,FM,OFF,1,TONE,123.0Hz,123.0Hz,023,BOTH N,OFF,0,,,,OFF
34,2AI Booral,ON,439.275000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
35,2TG Kariong,ON,439.300000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
36,2CW Mt Lindsay,ON,439.300000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
37,2SV Sans Souci,ON,439.325000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
38,2SH Alpine,ON,439.375000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
39,2AG Somersby,ON,439.525000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
40,2AV portable,ON,439.525000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
41,2MR Mt Riverview,ON,439.575000,DUP-,5.000000,FM,OFF,1,TONE,123.0Hz,123.0Hz,023,BOTH N,OFF,0,,,,OFF
42,2RR Razorback,ON,439.600000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
43,2FI portable,ON,439.625000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
44,2WH Newcastle,ON,439.625000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
45,2WB Gwynne Hill,ON,439.650000,DUP-,5.000000,FM,OFF,1,TONE,123.0Hz,123.0Hz,023,BOTH N,OFF,0,,,,OFF
46,2OJ Bolwarra Hei,ON,439.700000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
47,2AG Somersby,ON,439.725000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
48,2HP Horsley Park,ON,439.750000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
49,2SW Blaxland,ON,439.775000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
50,2CG Sydney,ON,439.800000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
51,2WK Kurrajong,ON,439.825000,DUP-,5.000000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
52,2NG Werrington,ON,439.850000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
53,2AH portable,ON,439.875000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
54,2WP Wolumla Peak,ON,439.900000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
55,1WP portable,ON,439.925000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
56,2AF portable,ON,439.925000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
57,2ON Artarmon,ON,439.925000,DUP-,5.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
