CH No,Name,SEL,Frequency,Dup,Offset,Mode,DATA,Filter,TONE,Repeater Tone,TSQL Frequency,DTCS Code,DTCS Polarity,DV SQL,DV CSQL Code,Your Call Sign,RPT1 Call Sign,RPT2 Call Sign,Split
29,4HR Hodgson Rang,ON,146.925000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
30,4RC Wamuran,ON,146.925000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
31,4BD Blackdown Ta,ON,146.950000,DUP-,0.600000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
32,4CA Mt Haren,ON,146.950000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
33,4EG Mt Mowbullan,ON,146.950000,DUP-,0.600000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
34,4RR Mt Seaview,ON,146.975000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
35,4LW O'Briens Mtn,ON,146.975000,DUP-,0.600000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
36,4BN Mt Glorious,ON,147.000000,DUP-,0.600000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
37,4CQ Banana Range,ON,147.000000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
38,4MK Mt Blackwood,ON,147.000000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
39,4AX Mt Cotton,ON,147.075000,DUP+,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
40,4EP Middlemount,ON,147.075000,DUP+,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
41,4AG Black Mtn,ON,147.150000,DUP+,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
42,4WM North Ipswic,ON,147.175000,DUP+,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
43,4BT Wongawallan,ON,147.200000,DUP-,1.600000,FM,OFF,1,TONE,123.0Hz,123.0Hz,023,BOTH N,OFF,0,,,,OFF
44,4ED Dalby,ON,147.250000,DUP+,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
45,4NL Hervey Bay,ON,147.275000,DUP+,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
46,4GA Kroombit Top,ON,147.375000,DUP+,0.600000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
47,4LB Woodridge,ON,147.625000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
48,4BG The Hummock,ON,147.800000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
49,4KC Ocean View,ON,147.900000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
50,4BR Mt Gravatt,ON,147.950000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
51,4BA Rochedale,ON,147.925000,DUP-,0.600000,FM,OFF,1,TONE,123.0Hz,123.0Hz,023,BOTH N,OFF,0,,,,OFF
