CH No,Name,SEL,Frequency,Dup,Offset,Mode,DATA,Filter,TONE,Repeater Tone,TSQL Frequency,DTCS Code,DTCS Polarity,DV SQL,DV CSQL Code,Your Call Sign,RPT1 Call Sign,RPT2 Call Sign,Split
0,4KC Ocean View,ON,145.625000,OFF,0.000000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
1,4CC Ocean View,ON,146.625000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
2,4GT Maurice Hill,ON,146.625000,DUP-,0.600000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
3,4OM Grafton Rang,ON,146.650000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
4,4HB Booral,ON,146.650000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
5,4ET Mt Kiangarow,ON,146.675000,DUP-,0.600000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
6,4HT Hann Tablela,ON,146.675000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
7,4SA Sarina,ON,146.675000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
8,4AR Mt Archer,ON,146.700000,DUP-,0.600000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
9,4AT Mt Stuart,ON,146.700000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
10,4GC Springbrook,ON,146.700000,DUP-,0.600000,FM,OFF,1,TONE,123.0Hz,123.0Hz,023,BOTH N,OFF,0,,,,OFF
11,4MI Four Mile Hi,ON,146.700000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
12,4CM Mt Boulder,ON,146.725000,DUP-,0.600000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
13,4KP Mt Crosby,ON,146.725000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
14,4DD O'Rourke's H,ON,146.750000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
15,4PU Mt Perry,ON,146.750000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
16,4BM Blue Mtn,ON,146.775000,DUP-,0.600000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
17,4GN Mt Kanigan,ON,146.775000,DUP-,0.600000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
18,4BU Mt Goonanema,ON,146.800000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
19,4MP Midge Point,ON,146.800000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
20,4CR Braeside,ON,146.825000,DUP-,0.600000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
21,4SL Noosa Heads,ON,146.825000,DUP-,0.600000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
22,4SP Roddas Looko,ON,146.825000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
23,4SC Wilkes Knob,ON,146.850000,DUP-,0.600000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
24,4SD Malanda,ON,146.850000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
25,4AS Carborough R,ON,146.875000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
26,4BS Alexandra Hi,ON,146.875000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
27,4AI The Knobby,ON,146.900000,DUP-,0.600000,FM,OFF,1,OFF,67.0Hz,67.0Hz,023,BOTH N,OFF,0,,,,OFF
28,4GA Kroombit Top,ON,146.900000,DUP-,0.600000,FM,OFF,1,TONE,91.5Hz,91.5Hz,023,BOTH N,OFF,0,,,,OFF
